연령,남성비율,여성비율,남성수,여성수
90대,0.3544082747503694,0.9515801428353026,"1,583","4,357"
80대,2.856759056105315,4.174547360604539,"12,760","19,114"
70대,7.552948551470918,8.586498351060344,"33,736","39,315"
60대,14.25961581516142,14.646078581256688,"63,692","67,060"
50대,16.679129539246855,16.517133684233514,"74,499","75,627"
40대,15.582993776026507,15.37445126345906,"69,603","70,395"
30대,15.573142882729593,14.24880424574661,"69,559","65,241"
20대,11.731742264809924,11.071264769476052,"52,401","50,692"
10대,9.252003761250167,8.672985781990521,"41,325","39,711"
10대 이하,6.157256078448932,5.756655819337367,"27,502","26,358"