구,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의
분당구,구미동,단독_다가구,6.0,1803.5556391519635,1991.9308955737497,224250.0,419.53999999999996,False,48.0,1261.4133920204238,1208.057669822146,19040.0,50.0,False,224.0,191.68084033613445,6.556416181469391,1750.0,50.0,25.0,False
분당구,구미동,아파트,584.0,5458.010514879157,5410.671837210336,109462.0,59.98,False,1035.0,2389.969807760349,2364.557612290093,47000.0,59.98,False,521.0,669.7325769854133,5.622108843537415,14000.0,100.0,58.14,False
분당구,구미동,연립_다세대,74.0,3423.700201299368,4139.569001443976,142500.0,164.76,False,167.0,2089.9229237031263,2048.3814315156233,48000.0,59.93,False,89.0,772.8991315965263,4.962421816362272,20000.0,120.0,59.93,False
분당구,구미동,오피스텔,140.0,1670.0645523435305,1877.3787264975604,18200.0,35.63,False,93.0,1598.1077348066299,1781.2838873450876,17500.0,35.26,False,475.0,105.04607562758183,6.773039573393207,1000.0,70.0,32.9,False
분당구,궁내동,단독_다가구,,,,,,,14.0,2130.769606850721,2002.1377078243947,20650.0,30.52,False,42.0,205.58457711442787,9.327370798938649,2000.0,87.0,31.409999999999997,False
분당구,궁내동,연립_다세대,24.0,2320.4453269384385,2386.630218023081,48000.0,67.805,False,52.0,1623.807190330594,1700.2194076336368,34000.0,68.4225,False,22.0,302.65158081152515,4.9251388436665176,7500.0,102.0,67.3325,False
분당구,금곡동,단독_다가구,2.0,2529.9489795918366,2529.9489795918366,150000.0,196.0,True,1.0,1542.7066666666667,1542.7066666666667,21000.0,45.0,True,1.0,367.31111111111113,5.876977777777778,5000.0,80.0,45.0,True
분당구,금곡동,아파트,380.0,6122.841689644219,6047.523836713549,121250.0,58.8,False,635.0,2623.6507936507937,2581.4761164453635,49000.0,58.71,False,407.0,904.7071702244117,6.529975308641975,15000.0,100.0,55.44,False
분당구,금곡동,연립_다세대,3.0,1494.7098718914847,1422.6160791229468,40000.0,71.04,True,7.0,1163.3586711711712,1309.1722757998662,25000.0,71.04,False,5.0,447.44776245664497,3.9151679214956436,10000.0,70.0,71.04,False
분당구,금곡동,오피스텔,86.0,1955.8116018938795,2141.357675828842,20500.0,36.07,False,53.0,1736.3110195674562,1680.0596169166909,20000.0,36.16,False,369.0,104.02139710509755,7.331965622400887,1000.0,80.0,35.49,False
분당구,대장동,단독_다가구,3.0,3340.1714416088134,2841.0856081271854,226000.0,210.57,True,18.0,2192.2313563626913,2039.8031619078695,30750.0,47.269999999999996,False,106.0,717.5602344258737,6.917342857359481,10000.0,105.0,48.480000000000004,False
분당구,대장동,아파트,187.0,4512.16665254676,4542.376506755134,119000.0,84.9852,False,392.0,2576.9127697034573,2612.6769783737077,68125.0,84.973,False,256.0,1072.8362862010222,4.294160988074958,20000.0,77.5,55.98,False
분당구,대장동,연립_다세대,20.0,4667.527938383774,3736.8032294708546,113250.0,84.9653,False,62.0,2859.3698508911293,2681.142543753546,75000.0,84.9906,False,59.0,777.8654936015163,7.976067877121602,20000.0,205.0,84.9906,False
분당구,대장동,오피스텔,81.0,3314.025753395648,3280.900619906565,85210.0,84.9944,False,33.0,2038.6432889963723,2085.078510177325,45000.0,82.7,False,43.0,291.6196189131969,8.2674247965082,5000.0,155.0,56.68,False
분당구,동원동,단독_다가구,,,,,,,1.0,1502.6363636363637,1502.6363636363637,15000.0,33.0,True,23.0,82.64500000000001,6.366725925925926,500.0,48.0,25.0,False
분당구,동원동,연립_다세대,7.0,2271.1603053435115,2258.590860848291,41000.0,58.95,False,9.0,1762.905290102389,1851.2303731682227,20000.0,36.64,False,8.0,810.9491721497654,2.807235054347826,14000.0,50.0,59.7875,False
분당구,백현동,단독_다가구,4.0,3310.4338681566564,3300.7536399637083,286000.0,293.43,True,57.0,1577.7681818181818,1611.0941342828007,32000.0,63.0,False,75.0,275.4833333333333,5.76593023255814,5000.0,85.0,60.0,False
분당구,백현동,아파트,230.0,7446.590020621482,7454.008936962223,230000.0,101.83,False,635.0,3580.6673732911427,3592.729961380969,98000.0,96.815,False,647.0,573.3298463508322,2.6140555500642484,10000.0,45.0,74.76,False
분당구,백현동,연립_다세대,3.0,3191.012200026813,2840.855845846399,144000.0,153.47,True,7.0,1656.4890596291968,1869.2872063634406,30000.0,59.87,False,5.0,276.0815099381995,6.621362264877704,5000.0,120.0,59.87,False
분당구,백현동,오피스텔,73.0,5196.447228459993,4483.625411936105,128500.0,84.49,False,199.0,2936.383954154728,3112.9193897711193,29500.0,34.9,False,203.0,145.7583774250441,11.628973456987529,1100.0,110.0,31.27,False
분당구,분당동,단독_다가구,11.0,1323.4003267973858,1303.308436629374,158000.0,413.03,False,158.0,1093.9692947875603,1081.4438793499912,16000.0,50.0,False,777.0,143.73043478260868,4.62812,1000.0,50.0,40.0,False
분당구,분당동,아파트,265.0,5191.621392190153,5249.636568755798,134000.0,84.82,False,344.0,2279.057411764706,2254.5888653796296,55000.0,84.6,False,171.0,1169.228955435039,4.129346553204778,30000.0,100.0,84.82,False
분당구,분당동,연립_다세대,46.0,2910.0120447158642,3294.615914205523,125500.0,164.49,False,93.0,1752.6036757775685,1750.8990505721492,50000.0,84.985,False,33.0,550.9666666666666,5.063077285579642,20000.0,120.0,84.985,False
분당구,분당동,오피스텔,,,,,,,9.0,805.2238608119303,738.1212791731325,8900.0,54.4,False,7.0,182.30514705882354,2.6130404411764707,3000.0,43.0,54.4,False
분당구,삼평동,아파트,287.0,7546.778065427159,7468.536513182169,173000.0,84.2822,False,592.0,3291.5222913589705,3316.0970616981635,77000.0,84.2822,False,664.0,899.5648566198901,2.61908713811402,9293.0,39.0,51.96,False
분당구,삼평동,오피스텔,59.0,3204.3295638126006,3071.337555460082,26000.0,27.1,False,142.0,3048.22563640383,3012.53595680715,26000.0,28.5,False,266.0,133.51373182552504,12.016235864297252,1000.0,95.0,27.1,False
분당구,서현동,단독_다가구,6.0,1298.1537349157277,1543.9829759363608,159750.0,406.03999999999996,False,113.0,1190.088,1253.9118568774586,17000.0,50.0,False,352.0,165.29000000000002,5.721576923076923,1250.0,50.0,26.0,False
분당구,서현동,아파트,627.0,6497.949587605026,6625.0193961163,159000.0,84.6,False,1118.0,2491.8581749365476,2486.5539858241777,61725.0,84.57,False,590.0,819.0115613334473,6.021493624772313,20000.0,105.0,75.9,False
분당구,서현동,연립_다세대,36.0,3151.716101694916,3481.534393625252,62000.0,57.075,False,80.0,1964.1377676790885,1977.0854536354302,35000.0,58.95,False,25.0,918.4964674128761,4.08555790960452,20000.0,70.0,59.31,False
분당구,서현동,오피스텔,158.0,1912.766923918873,1954.1644284116046,23300.0,40.0,False,167.0,1710.7515,1736.395188155505,22500.0,40.0,False,545.0,94.45142857142856,7.024825000000001,1000.0,85.0,40.0,False
분당구,석운동,단독_다가구,,,,,,,1.0,1019.1076733366964,1019.1076733366964,55000.0,178.41,True,2.0,266.16232261449926,2.1081826960764563,7500.0,60.0,93.47,True
분당구,수내동,단독_다가구,10.0,1172.797421759638,1219.3615026538127,146500.0,407.12,False,81.0,1094.4286795308362,1156.4813835729854,19950.0,52.0,False,496.0,143.73043478260868,5.008787878787879,1000.0,50.0,30.0,False
분당구,수내동,아파트,504.0,6672.471671388103,7076.875878083063,174750.0,84.72,False,1019.0,2731.287749287749,2695.2876354991813,80000.0,84.9,False,536.0,1228.465254552211,5.361814871928308,34500.0,129.0,84.72,False
분당구,수내동,오피스텔,207.0,2149.160756501182,2235.1648110615033,24700.0,42.12,False,152.0,1820.6274287773117,1853.476850902155,26850.0,45.27,False,630.0,111.75799564788063,7.176873671151912,1000.0,75.0,35.01,False
분당구,야탑동,단독_다가구,9.0,1353.8496541681836,1349.0266367491597,175500.0,443.18,False,232.0,1269.508814010294,1301.6695332783715,18050.0,50.0,False,695.0,165.29000000000002,5.749217391304348,2000.0,50.0,25.0,False
분당구,야탑동,아파트,747.0,4703.5717790207045,4693.250792305226,98000.0,59.98,False,1293.0,2238.652749490835,2259.1780950741636,40950.0,59.55,False,643.0,772.5121014855616,5.608406212664278,15000.0,90.0,59.76,False
분당구,야탑동,연립_다세대,104.0,4550.025025025026,4689.4009277122,94000.0,59.88,False,222.0,1908.9776313418874,1902.7427006455823,36000.0,59.925,False,63.0,551.5181848515183,4.8662414131501475,10000.0,100.0,59.94,False
분당구,야탑동,오피스텔,120.0,1877.4556413616765,1876.6835178857061,20245.0,37.315,False,112.0,1582.021065193753,1603.5087406953887,24075.0,58.925,False,417.0,104.54775458570525,7.757665832290363,1000.0,77.0,33.07,False
분당구,운중동,단독_다가구,13.0,3460.1087076278964,3629.941447534743,280000.0,271.24,False,81.0,1682.952727272727,1720.0268329458345,35000.0,73.0,False,68.0,343.6258578695853,4.474664711205749,10000.0,100.0,66.0,False
분당구,운중동,아파트,321.0,6249.059163059163,6242.828223671605,143000.0,81.019,False,431.0,2761.6401929638782,2817.0275227361285,64000.0,83.504,False,203.0,1285.695597294523,5.657943814919736,30000.0,140.0,84.8205,False
분당구,운중동,연립_다세대,46.0,4088.414857459168,4370.624311451251,88700.0,83.57499999999999,False,55.0,2558.833774108237,2638.069323233287,108000.0,131.23,False,50.0,1179.66549296223,8.103748973327386,30000.0,160.0,84.715,False
분당구,운중동,오피스텔,13.0,2857.011163125675,2761.614612622163,69000.0,84.14,False,45.0,2082.3318279058713,2055.722834904612,46000.0,82.84,False,45.0,114.11114946496376,8.708849239612023,1000.0,95.0,32.36,False
분당구,율동,단독_다가구,1.0,1819.7260628824922,1819.7260628824922,170000.0,308.83,True,4.0,1337.3469585235514,1595.8641761447257,40000.0,92.82,True,20.0,190.83231973396647,4.995103600375856,3500.0,55.0,53.4,False
분당구,율동,연립_다세대,8.0,2785.928125442786,2437.925372451786,42350.0,52.09,False,18.0,2145.628187297172,1988.0674977750646,34450.0,53.925,False,5.0,449.37130428872433,4.493713042887243,10000.0,95.0,56.515,False
분당구,이매동,단독_다가구,3.0,1657.0426065162908,3292.828061452025,104000.0,207.48,True,92.0,1267.2233333333334,1358.9619417249226,23750.0,57.96,False,115.0,222.61279461279463,5.289280000000001,3000.0,55.0,29.7,False
분당구,이매동,아파트,465.0,5703.022568829021,5785.9301494242,162500.0,84.94,False,1013.0,2504.7358361774745,2491.781016004137,66000.0,84.84,False,438.0,1116.0068713122714,5.005478855890234,30000.0,120.0,84.63,False
분당구,이매동,연립_다세대,27.0,3228.39628191552,3176.75596718682,75000.0,84.99,False,35.0,1960.375573596894,2073.2796011350915,46200.0,67.06,False,21.0,1273.4206471494608,1.6703403180264527,20000.0,30.0,52.05,False
분당구,정자동,단독_다가구,16.0,1444.5246028626261,1457.4777234737426,188000.0,436.55,False,198.0,1256.2040000000002,1264.8752691590448,20000.0,55.0,False,966.0,143.73043478260868,5.61986,1000.0,58.0,28.0,False
분당구,정자동,아파트,1148.0,6030.838083384586,6276.65001458292,133650.0,66.6,False,1748.0,2623.6507936507933,2695.9848871271306,60000.0,69.055,False,899.0,829.1447203411086,5.7392361111111105,20000.0,100.0,69.055,False
분당구,정자동,연립_다세대,5.0,4898.570052604283,4969.308387762731,208000.0,134.97,False,18.0,1916.9994030326998,1877.8597272741836,84000.0,134.97,False,9.0,489.85700526042825,5.615287551565154,20000.0,250.0,134.97,False
분당구,정자동,오피스텔,351.0,3001.3645966029726,3088.3152312999287,33900.0,37.72,False,807.0,2745.0296559905105,2689.173578835692,26000.0,34.07,False,1724.0,132.33787029623699,9.93056995058013,1500.0,90.0,29.99,False
분당구,판교동,단독_다가구,5.0,3552.4749815299892,3339.1225659291654,250000.0,231.5,False,118.0,1556.0621480599525,1685.8164977121496,30975.0,65.67,False,99.0,626.0984848484849,3.959041916167665,15000.0,80.0,81.2,False
분당구,판교동,아파트,273.0,5945.824162820968,6018.396213429551,155000.0,84.9505,False,505.0,2935.6678267130687,2846.2695801546033,75600.0,84.87,False,455.0,1217.068246233522,2.9182556497175147,30966.0,75.0,84.87,False
분당구,판교동,연립_다세대,13.0,5032.762930461376,4897.665273317544,218000.0,150.42,False,23.0,2760.0906488549617,2877.0972964542966,115000.0,128.38,False,12.0,976.0477834455382,6.849248844511239,40000.0,268.0,125.76,False
분당구,판교동,오피스텔,2.0,2074.660757969618,2074.660757969618,21750.0,34.545,True,11.0,2129.6897186431765,2202.268696694536,26100.0,38.03,False,12.0,2021.6777251784265,0.5997938084967309,18900.0,5.5,30.35,False
수정구,고등동,단독_다가구,,,,,,,68.0,2093.8956373723363,1985.8303509646314,30000.0,49.8,False,143.0,613.6625208836086,7.020174134635803,10000.0,100.0,45.7,False
수정구,고등동,아파트,241.0,4777.55055851302,4789.9477155460045,122000.0,84.9826,False,150.0,2722.8335561119793,2763.519092437531,67000.0,84.9872,False,378.0,796.2278801209789,2.259318278134849,7884.0,16.0,36.37,False
수정구,고등동,연립_다세대,,,,,,,,,,,,,5.0,638.8580463808854,2.787744202389318,11000.0,48.0,71.3,False
수정구,고등동,오피스텔,4.0,3678.5792280493515,3337.698981355432,66750.0,59.9739,True,36.0,2450.7578253706756,2477.38462537159,50000.0,59.99,False,30.0,389.0091786302659,9.336220287126382,10000.0,197.5,84.97,False
수정구,금토동,단독_다가구,,,,,,,4.0,794.4046533215569,865.6276284731656,18000.0,73.425,True,12.0,226.59477505098118,6.5538813715294975,3000.0,97.5,51.49,False
수정구,금토동,연립_다세대,,,,,,,3.0,1106.7243478260868,1554.2182075679484,15400.0,46.0,True,3.0,1570.0037993920973,3.7651480637813215,25000.0,60.0,52.68,True
수정구,금토동,오피스텔,,,,,,,,,,,,,2.0,128.54223472026402,12.675419298605203,1000.0,110.0,30.05,True
수정구,단대동,단독_다가구,5.0,1368.1013424851117,1190.6897154647859,36500.0,176.73,False,27.0,823.6188103394582,849.3517626044728,15000.0,58.91,False,78.0,92.14091335885931,3.882905444323728,1000.0,46.5,41.315,False
수정구,단대동,아파트,161.0,3165.372562674095,3455.7392846320845,80000.0,84.7,False,170.0,1808.3629569986074,1900.0683370051981,41000.0,77.82,False,98.0,532.6303792319197,3.700795376760757,10000.0,50.0,44.756,False
수정구,단대동,연립_다세대,141.0,1500.7414880201768,1500.1310997386477,18700.0,40.8,False,159.0,956.8608776844071,946.3190418529197,11500.0,40.8,False,64.0,88.62775353637461,3.2452842896205034,1000.0,45.0,41.6725,False
수정구,단대동,오피스텔,,,,,,,,,,,,,1.0,329.5912263210369,2.265939680957129,8000.0,55.0,80.24,True
수정구,복정동,단독_다가구,8.0,1290.897419711183,1231.4324801500823,266000.0,675.82,False,310.0,1177.9084268662034,1187.0341795865513,18000.0,50.0,False,1560.0,183.65555555555554,5.749217391304348,2000.0,52.5,29.0,False
