파일명,확장자,크기_bytes,데이터역할,행수,컬럼수,컬럼목록
2026.3 인구현황(1인세대수 현황 포함).xlsx,.xlsx,991170,세대수/인구 엑셀,,,첫 시트: 행정기관|인구수|19세 이상|65세 이상|세대수
seongnam_dong.geojson,.geojson,1149669,,,,
경기도 성남시_공동주택현황_20250705.csv,.csv,42738,기초 통계/보조 데이터,429,10,구|동|단지명|지번주소|도로명주소|지상층(고)|동수|세대수|관리사무소|데이터기준일자
경기도 성남시_주택_통계_20250618.csv,.csv,386,기초 통계/보조 데이터,10,10,구분|단독일반|다가구주택 동수기준|다가구주택 호수기준|영업겸용|아파트|연립주택|다세대 주택|비거주용 건물내 주택|데이터기준일자
경기도 성남시_주택보급률현황_20250630.csv,.csv,209,기초 통계/보조 데이터,4,5,구분|주택수|가구수|보급률 (퍼센트)|데이터기준일자
단독다가구(매매)_실거래가_20260512005259_분당구.csv,.csv,16230,단독_다가구 매매 실거래,89,17,NO|시군구|번지|주택유형|도로조건|연면적(㎡)|대지면적(㎡)|계약년월|계약일|거래금액(만원)|매수|매도|건축년도|도로명|해제사유발생일|거래유형|중개사소재지
단독다가구(매매)_실거래가_20260512005301_수정구.csv,.csv,149766,단독_다가구 매매 실거래,849,17,NO|시군구|번지|주택유형|도로조건|연면적(㎡)|대지면적(㎡)|계약년월|계약일|거래금액(만원)|매수|매도|건축년도|도로명|해제사유발생일|거래유형|중개사소재지
단독다가구(매매)_실거래가_20260512005303_중원구.csv,.csv,28213,단독_다가구 매매 실거래,157,17,NO|시군구|번지|주택유형|도로조건|연면적(㎡)|대지면적(㎡)|계약년월|계약일|거래금액(만원)|매수|매도|건축년도|도로명|해제사유발생일|거래유형|중개사소재지
단독다가구(전월세)_실거래가_20260512005621_분당구.csv,.csv,861507,단독_다가구 전월세 실거래,5278,18,NO|시군구|번지|도로조건|계약면적(㎡)|전월세구분|계약년월|계약일|보증금(만원)|월세금(만원)|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
단독다가구(전월세)_실거래가_20260512005626_수정구.csv,.csv,1297044,단독_다가구 전월세 실거래,7934,18,NO|시군구|번지|도로조건|계약면적(㎡)|전월세구분|계약년월|계약일|보증금(만원)|월세금(만원)|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
단독다가구(전월세)_실거래가_20260512005631_중원구.csv,.csv,531017,단독_다가구 전월세 실거래,3239,18,NO|시군구|번지|도로조건|계약면적(㎡)|전월세구분|계약년월|계약일|보증금(만원)|월세금(만원)|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
아파트(매매)_실거래가_20260512004606_분당구.csv,.csv,1229623,아파트 매매 실거래,6018,20,NO|시군구|번지|본번|부번|단지명|전용면적(㎡)|계약년월|계약일|거래금액(만원)|동|층|매수자|매도자|건축년도|도로명|해제사유발생일|거래유형|중개사소재지|등기일자
아파트(매매)_실거래가_20260512004611_수정구.csv,.csv,379952,아파트 매매 실거래,1877,20,NO|시군구|번지|본번|부번|단지명|전용면적(㎡)|계약년월|계약일|거래금액(만원)|동|층|매수자|매도자|건축년도|도로명|해제사유발생일|거래유형|중개사소재지|등기일자
아파트(매매)_실거래가_20260512004614_중원구.csv,.csv,378968,아파트 매매 실거래,1863,20,NO|시군구|번지|본번|부번|단지명|전용면적(㎡)|계약년월|계약일|거래금액(만원)|동|층|매수자|매도자|건축년도|도로명|해제사유발생일|거래유형|중개사소재지|등기일자
아파트(전월세)_실거래가_20260512005423_분당구.csv,.csv,3337034,아파트 전월세 실거래,17190,21,NO|시군구|번지|본번|부번|단지명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
아파트(전월세)_실거래가_20260512005429_수정구.csv,.csv,1155951,아파트 전월세 실거래,5993,21,NO|시군구|번지|본번|부번|단지명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
아파트(전월세)_실거래가_20260512005433_중원구.csv,.csv,606907,아파트 전월세 실거래,3175,21,NO|시군구|번지|본번|부번|단지명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
연령별 인구현황.csv,.csv,669,기초 통계/보조 데이터,10,5,연령|남성비율|여성비율|남성수|여성수
연립다세대(매매)_실거래가_20260512005214_분당구.csv,.csv,86488,연립_다세대 매매 실거래,416,20,NO|시군구|번지|본번|부번|건물명|전용면적(㎡)|대지권면적(㎡)|계약년월|계약일|거래금액(만원)|층|매수자|매도자|건축년도|도로명|해제사유발생일|거래유형|중개사소재지|등기일자
연립다세대(매매)_실거래가_20260512005217_수정구.csv,.csv,112346,연립_다세대 매매 실거래,544,20,NO|시군구|번지|본번|부번|건물명|전용면적(㎡)|대지권면적(㎡)|계약년월|계약일|거래금액(만원)|층|매수자|매도자|건축년도|도로명|해제사유발생일|거래유형|중개사소재지|등기일자
연립다세대(매매)_실거래가_20260512005220_중원구.csv,.csv,181987,연립_다세대 매매 실거래,886,20,NO|시군구|번지|본번|부번|건물명|전용면적(㎡)|대지권면적(㎡)|계약년월|계약일|거래금액(만원)|층|매수자|매도자|건축년도|도로명|해제사유발생일|거래유형|중개사소재지|등기일자
연립다세대(전월세)_실거래가_20260512005509_분당구.csv,.csv,246713,연립_다세대 전월세 실거래,1254,21,NO|시군구|번지|본번|부번|건물명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
연립다세대(전월세)_실거래가_20260512005516_수정구.csv,.csv,220796,연립_다세대 전월세 실거래,1132,21,NO|시군구|번지|본번|부번|건물명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
연립다세대(전월세)_실거래가_20260512005522_중원구.csv,.csv,400355,연립_다세대 전월세 실거래,2069,21,NO|시군구|번지|본번|부번|건물명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)|주택유형
오피스텔(매매)_실거래가_20260512005338_분당구.csv,.csv,240621,오피스텔 매매 실거래,1290,18,NO|시군구|번지|본번|부번|단지명|전용면적(㎡)|계약년월|계약일|거래금액(만원)|층|매수|매도|건축년도|도로명|해제사유발생일|거래유형|중개사소재지
오피스텔(매매)_실거래가_20260512005342_수정구.csv,.csv,38309,오피스텔 매매 실거래,204,18,NO|시군구|번지|본번|부번|단지명|전용면적(㎡)|계약년월|계약일|거래금액(만원)|층|매수|매도|건축년도|도로명|해제사유발생일|거래유형|중개사소재지
오피스텔(매매)_실거래가_20260512005344_중원구.csv,.csv,50323,오피스텔 매매 실거래,266,18,NO|시군구|번지|본번|부번|단지명|전용면적(㎡)|계약년월|계약일|거래금액(만원)|층|매수|매도|건축년도|도로명|해제사유발생일|거래유형|중개사소재지
오피스텔(전월세)_실거래가_20260512005656_분당구.csv,.csv,1211088,오피스텔 전월세 실거래,6559,20,NO|시군구|번지|본번|부번|단지명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)
오피스텔(전월세)_실거래가_20260512005701_수정구.csv,.csv,240413,오피스텔 전월세 실거래,1320,20,NO|시군구|번지|본번|부번|단지명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)
오피스텔(전월세)_실거래가_20260512005705_중원구.csv,.csv,300070,오피스텔 전월세 실거래,1618,20,NO|시군구|번지|본번|부번|단지명|전월세구분|전용면적(㎡)|계약년월|계약일|보증금(만원)|월세금(만원)|층|건축년도|도로명|계약기간|계약구분|갱신요구권 사용|종전계약 보증금(만원)|종전계약 월세(만원)
행정동별 인구분포.csv,.csv,858,기초 통계/보조 데이터,50,2,행정동|인구수
