구,법정동명,단지명,지번주소,도로명주소,지상층(고),동수,세대수,관리사무소,기준일자
분당구,구미동,까치마을건영빌라5단지,12, 미금일로 136,4.0,9,208,031-717-0912,2025-07-05
분당구,구미동,"까치마을건영빌라3,6단지",13, 미금일로 122,4.0,16,332,031-716-1021,2025-07-05
분당구,구미동,까치마을4단지롯데선경,63, 미금일로 58,22.0,16,1124,031-715-6697,2025-07-05
분당구,구미동,하얀마을그랜드빌라,111, 미금로 114,4.0,37,324,031-717-4553,2025-07-05
분당구,구미동,하얀마을 화이트빌,121, 금곡로 39,4.0,18,192,031-716-0407,2025-07-05
분당구,구미동,까치마을신원,66, 미금로 177,25.0,14,882,031-715-3339,2025-07-05
분당구,구미동,까치마을1단지대우,77, 미금로 184,25.0,16,976,031-715-6278,2025-07-05
분당구,구미동,까치마을주공2단지,88, 미금일로 22,25.0,9,768,031-715-0403,2025-07-05
분당구,구미동,하얀마을 주공5단지,110, 미금일로 21,21.0,7,779,031-717-3403,2025-07-05
분당구,구미동,하얀마을 주공6단지,112, 미금일로 57,21.0,14,1489,031-717-1216,2025-07-05
분당구,구미동,무지개마을신한건영,201, 미금로 63,20.0,12,964,031-715-3594,2025-07-05
분당구,구미동,무지개마을LG,202, 구미로 50,20.0,14,888,031-717-0903,2025-07-05
분당구,구미동,무지개마을대림,211, 미금로 23,27.0,11,778,031-718-2137,2025-07-05
분당구,구미동,무지개마을주공12단지,212, 미금로22번길 10,25.0,9,905,031-715-2283,2025-07-05
분당구,구미동,무지개마을금강,213, 미금로22번길 9,19.0,3,216,031-717-4609,2025-07-05
분당구,구미동,무지개마을주공4단지,220, 미금로 66,25.0,5,563,031-717-1467,2025-07-05
분당구,구미동,무지개마을청구,221, 무지개로 144,23.0,13,932,031-718-0735,2025-07-05
분당구,구미동,무지개마을삼성건영,222, 구미로 100,19.0,8,498,031-717-5244,2025-07-05
분당구,구미동,무지개마을건영6단지(건영3차),225, 구미로 115,16.0,4,208,031-717-4847,2025-07-05
분당구,구미동,무지개마을라이프,242, 구미로 143,19.0,4,222,031-717-8621,2025-07-05
분당구,구미동,무지개마을제일,243, 구미로144번길 7,18.0,3,172,031-715-2939,2025-07-05
분당구,금곡동,청솔마을주공5단지 공무원,125, 금곡로 263,20.0,8,474,031-714-4069,2025-07-05
분당구,금곡동,청솔마을주공6단지,126, 미금로 246,20.0,9,1250,031-713-1038,2025-07-05
분당구,금곡동,청솔마을동아,132, 금곡로 233,18.0,4,204,031-712-7201,2025-07-05
분당구,금곡동,청솔마을주공9단지,133, 금곡로 233,20.0,6,1020,031-717-6261,2025-07-05
분당구,금곡동,청솔마을대원,141, 미금로 215,25.0,14,820,031-713-1379,2025-07-05
분당구,금곡동,청솔마을성원,143, 미금로 251,25.0,9,454,031-713-8476,2025-07-05
분당구,금곡동,청솔마을계룡,176, 정자일로 30,24.0,6,492,031-719-1351,2025-07-05
분당구,금곡동,청솔마을서광영남,177, 성남대로171번길 8,21.0,6,408,031-718-2555,2025-07-05
분당구,금곡동,청솔마을화인,180, 정자일로 46,25.0,8,624,031-716-9155,2025-07-05
분당구,금곡동,청솔마을한라,181, 정자일로 72,22.0,10,768,031-714-8955,2025-07-05
분당구,금곡동,분당 두산위브 트레지움,192, 정자일로 55,20.0,9,656,031-713-9929,2025-07-05
분당구,금곡동,코오롱더프라우,201, 정자일로 27,33.0,1,164,031-726-3843,2025-07-05
분당구,금곡동,분당하우스토리,202, 정자일로 15,20.0,3,212,031-718-8131,2025-07-05
분당구,대장동,판교퍼스트힐푸르지오 1단지,50, 판교대장로7길 69,20.0,10,529,031-726-0529,2025-07-05
분당구,대장동,판교퍼스트힐푸르지오 2단지,54, 판교대장로7길 57,20.0,8,445,031-726-0445,2025-07-05
분당구,대장동,더샵판교포레스트12단지,287, 판교대장로5길 30,20.0,9,542,031-719-9566,2025-07-05
분당구,대장동,판교풍경채어바니티5단지아파트,299, 판교대장로5길 20,20.0,8,589,031-711-2008,2025-07-05
분당구,대장동,더샵판교포레스트11단지,181-1, 판교대장로5길 58,20.0,7,448,031-719-9605,2025-07-05
분당구,대장동,힐스테이트 판교 엘포레4단지,260-3, 판교대장로5길 19,20.0,5,251,031-712-7392,2025-07-05
분당구,대장동,힐스테이트 판교 엘포레6단지,산19-2, 판교대장로7길 16,20.0,8,464,031-713-7392,2025-07-05
분당구,대장동,판교 풍경채 어바니티7단지,산27-8,,20.0,7,444,031-719-9023,2025-07-05
분당구,대장동,판교포레나인9단지,625, 판교대장로 71,18.0,4,221,031-711-2971,2025-07-05
분당구,대장동,판교SK뷰테라스,590, 판교대장로7길 37,4.0,16,292,031-712-9942,2025-07-05
분당구,대장동,판교 해링턴 플레이스,636, 판교대장로5길 68,20.0,14,1123,031-716-0912,2025-07-05
분당구,백현동,더샵판교퍼스트파크,516, 판교백현로 38,25.0,15,1223,031-705-6306,2025-07-05
분당구,백현동,백현마을9단지,525, 판교역로 49,10.0,15,348,031-8017-3008,2025-07-05
분당구,백현동,알파리움2단지,530, 판교역로 145,20.0,6,514,031-709-9079,2025-07-05
분당구,백현동,알파리움1단지,531, 대왕판교로606번길 10,19.0,5,417,031-705-7949,2025-07-05
분당구,백현동,백현마을1단지 판교푸르지오그랑블,542, 동판교로 123,25.0,14,948,031-8016-0216,2025-07-05
분당구,백현동,백현마을2단지,545, 동판교로 122,25.0,13,772,031-8016-7009,2025-07-05
분당구,백현동,백현마을3단지,546, 동판교로 92,25.0,23,1722,031-8016-2175,2025-07-05
분당구,백현동,백현마을4단지,553, 동판교로 91,25.0,20,1974,031-8016-2311,2025-07-05
분당구,백현동,백현마을5단지,554, 판교역로 102,22.0,11,584,031-8016-0450,2025-07-05
분당구,백현동,백현마을6단지,555, 판교역로 100,22.0,6,396,031-8016-1231,2025-07-05
분당구,백현동,백현마을8단지,558, 판교역로 72,22.0,6,340,031-709-1775,2025-07-05
분당구,백현동 ,백현마을7단지,556, 판교역로 98,24.0,7,464,031-8016-0173,2025-07-05
분당구,분당동,샛별마을라이프,34, 분당로 190,25.0,9,796,031-701-4724,2025-07-05
분당구,분당동,샛별마을동성,35, 분당로 212,20.0,9,582,031-701-6001,2025-07-05
분당구,분당동,샛별마을우방,38, 수내로 181,20.0,12,811,031-702-6976,2025-07-05
분당구,분당동,샛별마을삼부,39, 수내로 201,25.0,14,588,031-701-4717,2025-07-05
분당구,분당동,장안타운건영2차,68, 장안로51번길 31,20.0,27,1688,031-702-4017,2025-07-05
분당구,분당동,장안타운두산건영,95, 장안로 67,4.0,10,224,031-703-4137,2025-07-05
분당구,분당동,장안타운한신라이프,96, 분당로263번길 68,4.0,10,264,031-702-2355,2025-07-05
분당구,삼평동,성남판교 경기행복주택,700, 판교로319번길 14,8.0,3,300,031-8039-6114,2025-07-05
분당구,삼평동,봇들마을1단지 판교신미주,705, 동판교로 275,15.0,25,1147,031-702-2626,2025-07-05
분당구,삼평동,봇들마을2단지이지더원,717, 판교로 393,15.0,16,721,031-703-0130,2025-07-05
분당구,삼평동,봇들마을4단지,718, 동판교로 226,18.0,12,748,031-8016-2207,2025-07-05
분당구,삼평동,봇들마을3단지,722, 동판교로 225,18.0,12,870,031-8016-5031,2025-07-05
분당구,삼평동,봇들마을5단지,726, 대왕판교로644번길 65,17.0,9,775,031-8016-7142,2025-07-05
분당구,삼평동,봇들마을6단지,728, 동판교로 212,20.0,13,1297,031-8017-3050,2025-07-05
분당구,삼평동,봇들마을7단지,738, 동판교로 155,22.0,11,585,031-8016-3315,2025-07-05
분당구,삼평동,판교호반써밋플레이스,740, 동판교로177번길 25,18.0,3,178,031-8016-3938,2025-07-05
분당구,삼평동,봇들마을8단지,742, 동판교로 153,22.0,7,447,031-8016-1333,2025-07-05
분당구,삼평동,봇들마을9단지금호어울림,744, 동판교로 156,24.0,14,850,031-708-2993,2025-07-05
분당구,서현동,시범단지삼성한신,87, 중앙공원로 53,28.0,33,1781,031-701-8295,2025-07-05
분당구,서현동,시범단지한양,91, 중앙공원로 17,30.0,32,2419,031-701-8050,2025-07-05
분당구,서현동,시범단지현대,92, 중앙공원로 20,30.0,29,1695,031-701-8061,2025-07-05
분당구,서현동,시범단지우성,96, 중앙공원로 54,30.0,29,1874,031-701-8270,2025-07-05
분당구,서현동,효자촌동아,291, 돌마로486번길 7,19.0,15,648,031-701-7865,2025-07-05
분당구,서현동,효자촌임광,292, 불정로 397,22.0,14,732,031-701-7651,2025-07-05
분당구,서현동,효자촌현대,300, 분당로201번길 17,22.0,14,710,031-701-5953,2025-07-05
분당구,서현동,효자촌삼환,301, 불정로 361,20.0,14,632,031-701-4691,2025-07-05
분당구,서현동,서현미래타운,307, 불정로386번길 10,22.0,4,160,031-705-3868,2025-07-05
분당구,서현동,서현효자촌그린타운,308, 불정로 362,25.0,22,1774,031-704-1297,2025-07-05
분당구,수내동,분당지웰푸르지오,1-1, 수내로 39,28.0,3,166,031-718-2101,2025-07-05
분당구,수내동,양지마을한양1단지(501~514동),24, 내정로165번길 35,15.0,13,1010,031-713-2091,2025-07-05
분당구,수내동,"양지마을한양2단지(515~529동), 603동",24, 내정로165번길 35,25.0,16,996,031-711-2108,2025-07-05
분당구,수내동,양지마을금호3단지,27, 내정로 151,21.0,6,414,031-711-2061,2025-07-05
분당구,수내동,"양지마을금호1,6단지(602동)",34, 수내로 74,26.0,17,1076,031-711-2060,2025-07-05
분당구,수내동,양지마을청구,36, 내정로 185,25.0,14,896,031-711-3378,2025-07-05
분당구,수내동,파크타운롯데,55, 내정로 152,30.0,41,3028,031-711-9644,2025-07-05
분당구,수내동,푸른마을 신성벽산쌍용,73, 수내로 206,22.0,50,2598,031-711-1121,2025-07-05
분당구,야탑동,"야탑동,목련마을SK",147, 판교로743번길 7,15.0,5,272,031-709-9132,2025-07-05
분당구,야탑동,목련마을영남,156, 판교로 669,17.0,4,294,031-707-6047,2025-07-05
분당구,야탑동,목련마을한일,162, 판교로 645,18.0,4,278,031-707-7841,2025-07-05
분당구,야탑동,목련마을한신,163, 판교로 627,15.0,5,264,031-703-4883,2025-07-05
분당구,야탑동,목련마을주공1단지,165, 판교로 607,15.0,12,1460,031-705-3039,2025-07-05
분당구,야탑동,목련마을대원빌라,173, 야탑로245번길 11,4.0,6,172,031-704-2599,2025-07-05
분당구,야탑동,목련마을대원빌라3단지,177, 야탑로271번길 7,4.0,9,216,031-702-3514,2025-07-05
분당구,야탑동,목련마을화성빌리지,185, 야탑로271번길 28,4.0,11,224,031-705-7750,2025-07-05
분당구,야탑동,SK VIEW,188, 돌마로 906,20.0,4,175,031-703-9400,2025-07-05
분당구,야탑동,분당동원로얄듀크,190, 돌마로 908,22.0,4,166,031-781-9831,2025-07-05
분당구,야탑동,매화마을주공1단지,201, 매화로 92,20.0,6,562,031-707-6647,2025-07-05
분당구,야탑동,매화마을주공3단지,207, 양현로 507,15.0,16,851,031-705-3037,2025-07-05
분당구,야탑동,매화마을주공4단지,211, 장미로 193,15.0,7,643,031-705-3038,2025-07-05
분당구,야탑동,매화마을주공2단지,215, 장미로 139,21.0,17,1185,031-703-4947,2025-07-05
분당구,야탑동,매화마을벽산연립,218, 벌말로50번길 27,4.0,10,252,031-702-1480,2025-07-05
분당구,야탑동,매화마을건영1차,265, 벌말로30번길 32,4.0,11,248,031-706-9723,2025-07-05
분당구,야탑동,매화마을동신건영2차,266, 벌말로30번길 12,4.0,12,240,031-706-7498,2025-07-05
분당구,야탑동,장미마을현대,335, 장미로 101,20.0,25,2136,031-705-2014,2025-07-05
분당구,야탑동,아이파크,391, 야탑로 125,15.0,5,270,031-702-1323,2025-07-05
분당구,야탑동,"탑마을타워빌(경향,기산,진덕,남광)",511, 양현로 272,22.0,20,1166,031-705-6691,2025-07-05
분당구,야탑동,탑마을벽산,517, 야탑로 124,23.0,12,646,031-705-3561,2025-07-05
분당구,야탑동,탑마을주공8단지,518, 매화로 12,15.0,9,701,031-705-3036,2025-07-05
분당구,야탑동,탑마을경남,526,판교로 519,23.0,16,884,031-706-2108,2025-07-05
분당구,야탑동,탑마을대우,535,판교로 421,17.0,12,654,031-704-4993,2025-07-05
분당구,야탑동,탑마을선경,536,야탑로 20,16.0,16,976,031-703-0548,2025-07-05
분당구,야탑동,장미마을동부,"330, 331",장미로 55,17.0,21,1134,031-704-6738,2025-07-05
분당구,야탑동,장미마을코오롱,"330, 331",장미로 55,16.0,18,1082,031-704-6975,2025-07-05
분당구,운중동, LIG건영,899,판교원로 7,25.0,3,222,031-8016-0111,2025-07-05
분당구,운중동, 산운마을14단지 경남아너스빌,916,판교원로82번길 60,18.0,12,492,031-8016-0455,2025-07-05
분당구,운중동, 산운마을13단지,918,판교원로82번길 30,35.0,12,1396,031-8016-2340,2025-07-05
분당구,운중동, 산운마을12단지,921,판교원로 46,18.0,10,510,031-8016-6608,2025-07-05
분당구,운중동, 산운마을11단지,922,판교원로 68,18.0,10,504,031-8016-6601,2025-07-05
분당구,운중동, 산운마을10단지 대광로제비앙,949,판교원로81번길 15,18.0,4,257,031-701-2984,2025-07-05
분당구,운중동, 산운마을8단지 판교부영,956,산운로 98,21.0,6,371,031-701-3941,2025-07-05
분당구,운중동,산운마을9단지 판교대방노블랜드,958,산운로 126,18.0,4,266,031-704-0986,2025-07-05
분당구,운중동, 산운마을7단지,987,산운로 135,4.0,21,206,031-8017-3371,2025-07-05
분당구,운중동, 산운마을6단지,988,산운로 121,17.0,10,256,031-701-1044,2025-07-05
분당구,운중동,산운마을5단지 한성필하우스,989,산운로 97,18.0,5,268,031-702-4777,2025-07-05
분당구,이매동,이매촌삼환,99,양현로 220,25.0,10,572,031-703-3971,2025-07-05
분당구,이매동,이매촌삼성,100,양현로 220,21.0,27,1162,031-706-2561,2025-07-05
분당구,이매동,이매촌동신9단지,110,양현로166번길 20,18.0,10,458,031-704-3220,2025-07-05
분당구,이매동,이매촌진흥,111,양현로 138,25.0,13,832,031-705-1057,2025-07-05
분당구,이매동,이매촌성지,116,이매로 54,18.0,4,304,031-703-1397,2025-07-05
분당구,이매동,이매촌동신3단지,117,양현로94번길 28,20.0,9,460,031-704-3271,2025-07-05
분당구,이매동,이매촌동부코오롱,121,양현로 88,20.0,4,264,031-705-5216,2025-07-05
분당구,이매동,이매촌금강,122,서현로 177,23.0,7,588,031-703-1114,2025-07-05
분당구,이매동,이매촌청구,123,양현로94번길 29,25.0,13,710,031-703-0491,2025-07-05
분당구,이매동,이매촌한신,124,서현로 181,25.0,12,1184,031-704-3797,2025-07-05
분당구,이매동,아름마을(건영),132,판교로 430,28.0,12,706,031-703-2222,2025-07-05
분당구,이매동,아름마을(한성),132,판교로 430,5.0,8,240,031-704-7536,2025-07-05
분당구,이매동,아름마을(태영),132,판교로 430,17.0,8,414,031-703-2349,2025-07-05
분당구,이매동,아름마을두산삼호,133,탄천로 95,22.0,24,1132,031-703-1278,2025-07-05
분당구,이매동,아름마을풍림,140,탄천로 59,22.0,16,876,031-705-7895,2025-07-05
분당구,이매동,아름마을선경,142,이매로 11,17.0,5,370,031-706-0205,2025-07-05
분당구,이매동,아름마을효성,143,이매로 16,25.0,7,388,031-701-5705,2025-07-05
분당구,정자동,파크뷰,6,정자일로 248,35.0,13,1829,031-783-2000,2025-07-05
분당구,정자동,아이파크분당,9,정자일로 239,34.0,4,540,031-785-1900,2025-07-05
분당구,정자동,아이파크분당2,10-1,정자일로213번길 19,31.0,2,224,031-785-1900,2025-07-05
분당구,정자동,아이파크분당3,11,정자일로213번길 5,34.0,2,307,031-785-1900,2025-07-05
분당구,정자동,느티마을경남선경빌라,29,황새울로132번길 27,4.0,16,200,031-714-4367,2025-07-05
분당구,정자동,"느티마을3,4단지",88,느티로 70,25.0,28,1776,031-712-4083,2025-07-05
분당구,정자동,한솔마을주공7단지,101,내정로 94,20.0,12,1668,031-713-1210,2025-07-05
분당구,정자동,한솔마을주공4단지,102,백현로 206,25.0,17,1651,031-713-1403,2025-07-05
분당구,정자동,한솔마을한일,107,백현로 234,23.0,7,416,031-713-0004,2025-07-05
분당구,정자동,한솔마을청구,110,불정로 219,25.0,14,858,031-713-2713,2025-07-05
분당구,정자동,한솔마을2단지 LG,111,정자로 143,25.0,11,598,031-715-3297,2025-07-05
분당구,정자동,한솔마을주공5단지,112,정자로 115,25.0,12,1156,031-714-2717,2025-07-05
분당구,정자동,한솔마을주공6단지,117,내정로 54,25.0,12,1039,031-714-2717,2025-07-05
분당구,정자동,상록마을우성,121,내정로 55,25.0,27,1762,031-713-5065,2025-07-05
분당구,정자동,미켈란쉐르빌,180,정자일로 100,39.0,4,803,031-782-0300,2025-07-05
분당구,정자동,상록마을보성임광,181,정자일로 80,18.0,8,568,031-713-0791,2025-07-05
분당구,정자동,정든마을한진6단지,191,내정로 24,25.0,6,298,031-717-1197,2025-07-05
분당구,정자동,정든마을신화,192,정자로 112,25.0,8,564,031-716-1975,2025-07-05
분당구,정자동,정든마을한진8단지,193,불정로 119,25.0,9,512,031-716-1289,2025-07-05
분당구,정자동,정든마을한진7단지,194,내정로 10,20.0,5,382,031-712-4641,2025-07-05
분당구,정자동,정든마을우성4차,197,정자로 144,25.0,6,270,031-714-1693,2025-07-05
분당구,정자동,정든마을우성6차,198,불정로 195,23.0,8,706,031-713-4954,2025-07-05
분당구,정자동,정든마을동아2단지,199,불정로 179,23.0,8,706,031-718-0297,2025-07-05
분당구,정자동,정든마을동아1단지,200,불정로 141,23.0,7,300,031-715-0245,2025-07-05
분당구,정자동,분당더샵파크리버,215,돌마로 171,34.0,5,506,031-715-6656,2025-07-05
분당구,정자동,로얄팰리스,28-1,성남대로 449,32.0,4,566,031-785-5555,2025-07-05
분당구,정자동,위브제니스,15-4,정자일로232번길 25,30.0,2,157,031-719-1456,2025-07-05
분당구,정자동,상록마을라이프1단지,"124, 125",정자로 56,25.0,13,750,031-713-2599,2025-07-05
분당구,정자동,아데나팰리스,169-1,성남대로 275,27.0,3,203,031-719-7608,2025-07-05
분당구,정자동,삼성아데나루체,170-1,정자일로 120,25.0,3,259,031-712-3294,2025-07-05
분당구,정자동,분당더샾스타파크,174-1,정자일로 121,36.0,4,378,031-8022-5100,2025-07-05
분당구,판교동,판교원마을13단지,492,서판교로 193,4.0,16,170,031-8016-2225,2025-07-05
분당구,판교동,판교원마을12단지,494,서판교로 165,15.0,8,428,031-8016-0322,2025-07-05
분당구,판교동,판교원마을11단지 현대힐스테이트,513,서판교로 147,15.0,13,605,031-8017-3331,2025-07-05
분당구,판교동,판교원마을10단지,552,서판교로 73,4.0,22,248,031-8016-0240,2025-07-05
분당구,판교동,판교원마을9단지 한림풀에버,585,서판교로 29,20.0,23,1045,031-8016-7800,2025-07-05
분당구,판교동,판교원마을1단지,622,판교로 50,15.0,12,402,031-8016-1055,2025-07-05
분당구,판교동,판교원마을2단지,623,판교로 30,15.0,6,202,031-8016-3588,2025-07-05
분당구,판교동,판교원마을3단지,629,판교로 20,35.0,5,486,031-8016-9020,2025-07-05
분당구,판교동,판교원마을5단지,634,판교원로 207,35.0,7,567,031-8016-8042,2025-07-05
분당구,판교동,판교원마을6단지 판교대광로제비앙,635,판교원로 209,21.0,6,470,031-626-6663,2025-07-05
분당구,판교동,판교원마을7단지 모아미래도,637,판교원로 237,20.0,9,585,031-702-0015,2025-07-05
분당구,판교동,판교원마을8단지 상록아파트,638,판교원로 255,20.0,7,466,031-8016-1008,2025-07-05
수정구,고등동,판교밸리포레자이 ,576,고등로 33,15.0,12,603,031-751-6481,2025-07-05
수정구,고등동,고등마을 행복주택,578,고등로 57,15.0,11,1520,031-759-5674,2025-07-05
수정구,고등동,판교밸리제일풍경채,590,고등공원로 19,15.0,9,543,031-778-7935,2025-07-05
수정구,고등동,호반써밋판교밸리,592,고등로 34,14.0,19,768,031-759-9883,2025-07-05
수정구,단대동,선경논골,6,논골로 87,13.0,3,426,031-733-4444,2025-07-05
수정구,단대동,푸르지오,100,산성대로437번길 7,25.0,13,1015,031-731-4706,2025-07-05
수정구,단대동,휴먼시아,101,산성대로437번길 8,18.0,2,213,031-735-3003,2025-07-05
수정구,단대동,진로,124,단대로23번길 32,15.0,6,499,031-732-0208,2025-07-05
수정구,단대동,성남미도,182,희망로 472,14.0,2,280,031-734-0237,2025-07-05
수정구,단대동,코오롱하늘채,6986,단대로15번길 2,15.0,4,186,031-742-9615,2025-07-05
수정구,단대동 ,진흥더블파크, 78,단대로23번길 10,15.0,3,188,031-734-7950,2025-07-05
수정구,수진동,삼부,4663,모란로 65,15.0,9,834,031-752-0405,2025-07-05
수정구,수진동,삼정그린뷰,4678,수정로 2,10.0,5,274,031-751-2985,2025-07-05
수정구,시흥동,판교 제2테크노밸리 LH 1단지,324,창업로40번길 6,10.0,1,200,031-758-3250,2025-07-05
수정구,신흥동,산성역 포레스티아 아파트,6951,수정로 319,28.0,39,4089,031-731-9462,2025-07-05
수정구,신흥동,두산,2024,공원로 360,15.0,6,570,031-747-0480,2025-07-05
수정구,신흥동,한신,2463-1,산성대로 341,15.0,5,585,031-731-6628,2025-07-05
