구,법정동명,건축유형,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의
분당구,구미동,단독_다가구,224,191.68084033613445,6.556416181469391,1750.0,50.0,25.0,False
분당구,구미동,아파트,521,669.7325769854133,5.622108843537415,14000.0,100.0,58.14,False
분당구,구미동,연립_다세대,89,772.8991315965263,4.962421816362272,20000.0,120.0,59.93,False
분당구,구미동,오피스텔,475,105.04607562758183,6.773039573393207,1000.0,70.0,32.9,False
분당구,궁내동,단독_다가구,42,205.58457711442787,9.327370798938649,2000.0,87.0,31.409999999999997,False
분당구,궁내동,연립_다세대,22,302.65158081152515,4.9251388436665176,7500.0,102.0,67.3325,False
분당구,금곡동,단독_다가구,1,367.31111111111113,5.876977777777778,5000.0,80.0,45.0,True
분당구,금곡동,아파트,407,904.7071702244117,6.529975308641975,15000.0,100.0,55.44,False
분당구,금곡동,연립_다세대,5,447.44776245664497,3.9151679214956436,10000.0,70.0,71.04,False
분당구,금곡동,오피스텔,369,104.02139710509755,7.331965622400887,1000.0,80.0,35.49,False
분당구,대장동,단독_다가구,106,717.5602344258737,6.917342857359481,10000.0,105.0,48.480000000000004,False
분당구,대장동,아파트,256,1072.8362862010222,4.294160988074958,20000.0,77.5,55.98,False
분당구,대장동,연립_다세대,59,777.8654936015163,7.976067877121602,20000.0,205.0,84.9906,False
분당구,대장동,오피스텔,43,291.6196189131969,8.2674247965082,5000.0,155.0,56.68,False
분당구,동원동,단독_다가구,23,82.64500000000001,6.366725925925926,500.0,48.0,25.0,False
분당구,동원동,연립_다세대,8,810.9491721497654,2.807235054347826,14000.0,50.0,59.7875,False
분당구,백현동,단독_다가구,75,275.4833333333333,5.76593023255814,5000.0,85.0,60.0,False
분당구,백현동,아파트,647,573.3298463508322,2.6140555500642484,10000.0,45.0,74.76,False
분당구,백현동,연립_다세대,5,276.0815099381995,6.621362264877704,5000.0,120.0,59.87,False
분당구,백현동,오피스텔,203,145.7583774250441,11.628973456987529,1100.0,110.0,31.27,False
분당구,분당동,단독_다가구,777,143.73043478260868,4.62812,1000.0,50.0,40.0,False
분당구,분당동,아파트,171,1169.228955435039,4.129346553204778,30000.0,100.0,84.82,False
분당구,분당동,연립_다세대,33,550.9666666666666,5.063077285579642,20000.0,120.0,84.985,False
분당구,분당동,오피스텔,7,182.30514705882354,2.6130404411764707,3000.0,43.0,54.4,False
분당구,삼평동,아파트,664,899.5648566198901,2.61908713811402,9293.0,39.0,51.96,False
분당구,삼평동,오피스텔,266,133.51373182552504,12.016235864297252,1000.0,95.0,27.1,False
분당구,서현동,단독_다가구,352,165.29000000000002,5.721576923076923,1250.0,50.0,26.0,False
분당구,서현동,아파트,590,819.0115613334473,6.021493624772313,20000.0,105.0,75.9,False
분당구,서현동,연립_다세대,25,918.4964674128761,4.08555790960452,20000.0,70.0,59.31,False
분당구,서현동,오피스텔,545,94.45142857142856,7.024825000000001,1000.0,85.0,40.0,False
분당구,석운동,단독_다가구,2,266.16232261449926,2.1081826960764563,7500.0,60.0,93.47,True
분당구,수내동,단독_다가구,496,143.73043478260868,5.008787878787879,1000.0,50.0,30.0,False
분당구,수내동,아파트,536,1228.465254552211,5.361814871928308,34500.0,129.0,84.72,False
분당구,수내동,오피스텔,630,111.75799564788063,7.176873671151912,1000.0,75.0,35.01,False
분당구,야탑동,단독_다가구,695,165.29000000000002,5.749217391304348,2000.0,50.0,25.0,False
분당구,야탑동,아파트,643,772.5121014855616,5.608406212664278,15000.0,90.0,59.76,False
분당구,야탑동,연립_다세대,63,551.5181848515183,4.8662414131501475,10000.0,100.0,59.94,False
분당구,야탑동,오피스텔,417,104.54775458570525,7.757665832290363,1000.0,77.0,33.07,False
분당구,운중동,단독_다가구,68,343.6258578695853,4.474664711205749,10000.0,100.0,66.0,False
분당구,운중동,아파트,203,1285.695597294523,5.657943814919736,30000.0,140.0,84.8205,False
분당구,운중동,연립_다세대,50,1179.66549296223,8.103748973327386,30000.0,160.0,84.715,False
분당구,운중동,오피스텔,45,114.11114946496376,8.708849239612023,1000.0,95.0,32.36,False
분당구,율동,단독_다가구,20,190.83231973396647,4.995103600375856,3500.0,55.0,53.4,False
분당구,율동,연립_다세대,5,449.37130428872433,4.493713042887243,10000.0,95.0,56.515,False
분당구,이매동,단독_다가구,115,222.61279461279463,5.289280000000001,3000.0,55.0,29.7,False
분당구,이매동,아파트,438,1116.0068713122714,5.005478855890234,30000.0,120.0,84.63,False
분당구,이매동,연립_다세대,21,1273.4206471494608,1.6703403180264527,20000.0,30.0,52.05,False
분당구,정자동,단독_다가구,966,143.73043478260868,5.61986,1000.0,58.0,28.0,False
분당구,정자동,아파트,899,829.1447203411086,5.7392361111111105,20000.0,100.0,69.055,False
분당구,정자동,연립_다세대,9,489.85700526042825,5.615287551565154,20000.0,250.0,134.97,False
분당구,정자동,오피스텔,1724,132.33787029623699,9.93056995058013,1500.0,90.0,29.99,False
분당구,판교동,단독_다가구,99,626.0984848484849,3.959041916167665,15000.0,80.0,81.2,False
분당구,판교동,아파트,455,1217.068246233522,2.9182556497175147,30966.0,75.0,84.87,False
분당구,판교동,연립_다세대,12,976.0477834455382,6.849248844511239,40000.0,268.0,125.76,False
분당구,판교동,오피스텔,12,2021.6777251784265,0.5997938084967309,18900.0,5.5,30.35,False
수정구,고등동,단독_다가구,143,613.6625208836086,7.020174134635803,10000.0,100.0,45.7,False
수정구,고등동,아파트,378,796.2278801209789,2.259318278134849,7884.0,16.0,36.37,False
수정구,고등동,연립_다세대,5,638.8580463808854,2.787744202389318,11000.0,48.0,71.3,False
수정구,고등동,오피스텔,30,389.0091786302659,9.336220287126382,10000.0,197.5,84.97,False
수정구,금토동,단독_다가구,12,226.59477505098118,6.5538813715294975,3000.0,97.5,51.49,False
수정구,금토동,연립_다세대,3,1570.0037993920973,3.7651480637813215,25000.0,60.0,52.68,True
수정구,금토동,오피스텔,2,128.54223472026402,12.675419298605203,1000.0,110.0,30.05,True
수정구,단대동,단독_다가구,78,92.14091335885931,3.882905444323728,1000.0,46.5,41.315,False
수정구,단대동,아파트,98,532.6303792319197,3.700795376760757,10000.0,50.0,44.756,False
수정구,단대동,연립_다세대,64,88.62775353637461,3.2452842896205034,1000.0,45.0,41.6725,False
수정구,단대동,오피스텔,1,329.5912263210369,2.265939680957129,8000.0,55.0,80.24,True
수정구,복정동,단독_다가구,1560,183.65555555555554,5.749217391304348,2000.0,52.5,29.0,False
수정구,복정동,아파트,10,945.756679001914,9.501357572859101,15000.0,160.0,57.905,False
수정구,복정동,연립_다세대,15,163.9781746031746,5.794566170026293,1000.0,45.0,28.38,False
수정구,사송동,단독_다가구,26,405.5726851851852,2.040940166432255,10000.0,47.5,72.695,False
수정구,사송동,연립_다세대,9,304.9630996309963,4.262248581743167,3000.0,47.0,51.22,False
수정구,산성동,단독_다가구,34,54.60956450556647,4.361239305054152,500.0,47.5,36.33,False
수정구,산성동,연립_다세대,41,104.71333544504277,3.654653266331658,1000.0,50.0,45.36,False
수정구,상적동,단독_다가구,11,215.96655125106162,3.9828915662650606,10000.0,100.0,115.25,False
수정구,수진동,단독_다가구,689,72.36865148861646,4.064870355519915,500.0,40.0,36.38,False
수정구,수진동,아파트,75,407.62022194821213,6.228001799183773,5000.0,62.0,59.76,False
수정구,수진동,연립_다세대,34,233.63567547674842,3.3026453378420912,4400.0,42.5,58.1257,False
수정구,수진동,오피스텔,57,117.81183178902353,6.719616261398176,1000.0,60.0,29.58,False
수정구,시흥동,단독_다가구,15,91.82777777777777,5.371925,1000.0,65.0,46.09,False
수정구,시흥동,아파트,63,783.2389031078611,3.323930530164534,5184.0,22.0,21.88,False
수정구,시흥동,연립_다세대,2,992.8018457138842,2.2877574383389643,19490.0,47.5,66.275,True
수정구,시흥동,오피스텔,162,138.02922755741128,18.212253756260434,1000.0,132.0,23.95,False
수정구,신촌동,단독_다가구,25,145.84411764705882,4.375323529411765,5000.0,110.0,78.49,False
수정구,신촌동,연립_다세대,1,143.17020355132092,5.726808142052837,4000.0,160.0,92.36,True
수정구,신흥동,단독_다가구,471,52.40646797717185,3.5844944429384658,500.0,40.0,36.33,False
수정구,신흥동,아파트,900,975.7014749340549,4.780621517379085,11307.0,90.0,59.98,False
수정구,신흥동,연립_다세대,18,121.1500946397648,4.483756656100448,1250.0,50.0,46.099999999999994,False
수정구,신흥동,오피스텔,51,251.69788335617483,5.0713565636642555,5000.0,50.0,53.74,False
수정구,심곡동,단독_다가구,16,160.71811573680733,4.09149043038439,4000.0,52.5,75.75999999999999,False
수정구,심곡동,연립_다세대,1,125.62416872506175,6.9093292798783965,2000.0,110.0,52.63,True
수정구,양지동,단독_다가구,152,97.22941176470589,3.896121428571428,1000.0,40.0,37.725,False
수정구,양지동,아파트,5,389.09159388903277,4.90656771799629,10000.0,80.0,83.88,False
수정구,양지동,연립_다세대,32,337.94725005111434,3.3794725005111435,5000.0,46.5,47.135000000000005,False
수정구,오야동,단독_다가구,21,261.24545598229804,3.494964979516321,5000.0,55.0,50.0,False
수정구,오야동,연립_다세대,2,107.07622543727057,1.0261471604405097,6000.0,57.5,185.24,True
수정구,창곡동,단독_다가구,125,480.84363636363634,6.311072727272727,8000.0,100.0,53.28,False
수정구,창곡동,아파트,1178,634.8662732520846,2.146623376623377,10000.0,30.0,46.99,False
수정구,창곡동,연립_다세대,138,1836.331173542745,1.6830122197977064,47104.0,43.0,84.7398,False
수정구,창곡동,오피스텔,536,315.4389312977099,10.35052986512524,3000.0,85.0,28.36,False
수정구,태평동,단독_다가구,2072,71.4304235090752,4.407733333333333,500.0,45.0,37.0,False
수정구,태평동,아파트,122,212.006746660339,9.285208850352685,1000.0,65.0,18.16,False
수정구,태평동,연립_다세대,118,144.86415425065732,4.469022788721515,2000.0,55.0,41.019999999999996,False
수정구,태평동,오피스텔,50,126.03063696463062,6.294597916086039,1500.0,75.0,42.74,False
중원구,갈현동,단독_다가구,5,462.43588547980977,1.8163736263736265,5000.0,40.0,72.8,False
중원구,금광동,단독_다가구,468,76.87906976744186,4.13225,1000.0,40.0,35.0,False
중원구,금광동,아파트,296,529.2808539026017,6.310631424375919,10000.0,100.0,59.9,False
중원구,금광동,연립_다세대,57,166.91744508962384,3.477958968963703,3000.0,45.0,48.48,False
중원구,금광동,오피스텔,22,66.19543452142571,5.804430159484097,500.0,45.5,25.8,False
중원구,도촌동,단독_다가구,50,201.02364608239958,4.80993556433174,3000.0,50.0,45.0,False
중원구,도촌동,아파트,269,307.2307197844496,1.9706706408345755,4782.0,28.0,46.97,False
중원구,도촌동,연립_다세대,5,1563.0260047281324,3.8900917863026594,40000.0,100.0,84.82,False
중원구,도촌동,오피스텔,43,163.08830784410458,3.6274323335771768,1000.0,50.0,45.18,False
중원구,상대원동,단독_다가구,692,73.41331262021009,3.7278998398643557,1000.0,40.0,37.475,False
중원구,상대원동,아파트,207,198.42737094837938,4.431544617847139,3000.0,60.0,49.98,False
중원구,상대원동,연립_다세대,85,313.77084745762716,3.0680278422273783,4800.0,45.0,52.18,False
중원구,성남동,단독_다가구,434,132.232,4.9587,1000.0,49.5,35.0,False
중원구,성남동,아파트,87,334.44437832093513,2.3865981185736165,5000.0,33.0,45.31,False
중원구,성남동,연립_다세대,125,222.76280323450132,4.851956947162426,3000.0,50.0,39.18,False
중원구,성남동,오피스텔,985,164.96007984031937,7.387262569832403,1000.0,70.0,23.54,False
중원구,여수동,단독_다가구,100,390.99368764568766,4.595889163071614,5000.0,55.0,50.0,False
중원구,여수동,아파트,67,819.7976583862892,5.060692416391898,20000.0,120.0,59.98,False
중원구,여수동,오피스텔,226,183.4517768060697,9.103752151462995,2000.0,75.0,26.535,False
중원구,은행동,단독_다가구,214,82.64500000000001,3.7737492099690506,1000.0,40.0,36.3,False
중원구,은행동,아파트,118,87.87347155768208,2.313366273271785,2000.0,45.0,66.38,False
중원구,은행동,연립_다세대,262,131.60031847133757,3.2826766956201574,2000.0,45.0,42.605000000000004,False
중원구,중앙동,단독_다가구,136,41.80077507125081,1.3164922847751106,500.0,35.0,54.8,False
중원구,중앙동,아파트,146,552.0708082832331,6.20078138419429,10000.0,140.0,59.98,False
중원구,중앙동,연립_다세대,25,126.34435314351234,3.372691719095392,2000.0,50.0,47.72,False
중원구,하대원동,단독_다가구,150,94.45142857142856,3.9118633333333332,1000.0,40.0,36.015,False
중원구,하대원동,아파트,71,388.96340745970116,4.917189976254996,10000.0,110.0,73.9524,False
중원구,하대원동,연립_다세대,75,357.5134151785714,2.948786237655304,3362.0,30.0,34.08,False
중원구,하대원동,오피스텔,17,1110.9309198229219,1.5209364005412718,13509.0,18.0,40.37,False
